iter	Passed	Remaining
414	3196	4505
415	3199	4490
416	3201	4476
417	3204	4461
418	3205	4445
419	3207	4429
420	3210	4415
421	3213	4401
422	3216	4387
423	3219	4373
424	3221425	32425	3225426	3268	4385
427	3271	4371
428	3275	4359
429	3280	4348
430	3295	4350
431	3301	4340
432	3305	4328
433	3310	4317
434	3313	4303
435	3316	4290
436	3328	4288
437	3336	4281
438	3355	4288
439	3362	4279
440	3366	4267
441	3372	4257
442	3378	4247
443	3387	4241
444	3393	4232
445	3401	4225
446	3405	4212
447	3423	4218
448	3431	4210
449	3438	4202
450	3440	4188
451	3451	4184
452	3459	4176
45455	3491	41645456	3495	41545457	3503	41445458	3513	414457	3496	4137
45460	3523	41245461	3535	4117
462	3549	4116
463	3553	4105
464	3561	4097
465	3566	4087
466	3572	4077
467	3583	4073
468	3587	4062
469	3594	4053
470	3600	4043
471	3622	4051
472	3629	4043
473	3640	4040
474	3645	4029
475	3653	4021
476	3655	4007
477	3662	3999
478	3673	3995
479	3681	3988
480	3692	3984
481	3698	3974
482	3716	3977
483	3722	3968
484	3727	3957
485	3732	3947
486	3745	3945
487	3757	3942
488	3761	3930
489	3772	3926
490	3778	3917
491	3785	3908
492	3790	3898
493	3795	3887
494	3801	3878
495	3815	3876
496	3822	3868
497	3825	3856
498	3831	3846
499	3844	3844
500	3848	38349501	3866	383500	3870	3855
501	3885	3854
502	3896	3850
503	3904	3842
504	3912	3835
50507	3945	382506	3930	3821
507	3942	3818
508	3970	3829
509	3984	3828
51512	4021	3817
513	4027	3808
514	4031	3796
515	4047	3796
516	4055	3788
517	4061	3778
518	4077	3779
519	4082	3768
520	4088	3758
521	4092	3747
522	4108	3747
523	4121	3743
524	4125	3732
525	4131	3722
526	4136	3713
527	4142	3703
528	4150	3695
529	4157	3686
530	4163	3677
531	4179	3677
532	4184	3665
533	4190	3657
534	4194	36453535	4202	363534	4192	3644
535	4200	3635
536	4203	3624
537	4222	3625
538	4232	3619
539	4250	3620
540	4259	3613
541	4262	3601
542	4270	3594
543	4278	3586
544	4287	3579
545	4300	3575
546	4317	3575
547	4330	3571
548	4345	3570
549	4356	3564
550	4362	3554
551	4367	3544
552	4379	3540
553	4384	3529
554	4391	3520
555	4394	3508
556	4398	3498
557	4402	3487
558	4410	3479
559	4418	3471
560	4425	3463
561	4429	3452
562	4432	3440
563	4436	3429
564	4449	3425
565	4453	3414
566	4458	3404
567	4461	3393
568	4466	3383
569	4472	3374
570	4479	3365
571	4484	3355
572	4489	3345
573	4493	3334
574	4497	3324
575	4501	3313
576	4517	3311
577	4524	3303
578	4527	3291
579	4533	3283
580	4544	3277
581	4549	3267
582	4556	3258
583	4561	3249
584	4568	3241
585	4572	3230
586	4578	3221
58589	4608	32058590	4614	31958591	4620	31859592	4625	31759593	4636	31659594	4647	3163
595	4653	3154
596	4665	3149
597	4672	3141
598	4680	3133
599	4683	3122
600	4689	3113
601	4699	3107
602	4707	3099
603	4710	3088
604	4715	3078
605	4719	3068
606	4727	3060
607	4742	3057
608	4746	3047
609	4751	3038
610	4757	3028
611	4777	3028
612	4781	3018
613	4785	3008
614	4790	2998
615	4798	2991
616	4802	2981
617	4811	2973
618	4813	2962
619	4816	2952
620	4819	2941
621	4825	2932
622	4828	2921
623	4832	2911
624	4835	2901
625	4838	2890
626	4842	2880
627	4847	2871
628	4851	2861
629	4853	2850
630	4855	2839
631	4857	2828
632	4859	2817
633	4870	2811
634	4872	2800
635	4876	2791
636	4878	2780
637	4880	2769
638	4883	2758
639	4885	2747
640	4887	2737
641	4889	27264642	4891	271641	4874	2718
642	4878	2708
643	4880	2698
644	4884	2688
645	4886	2677
646	4889	2667
647	4891	2657
648	4894	2646
649	4896	2636
650	4901	2627
651	4908	2619
652	4911	2609
653	4914	2599
654	4918	2590
655	4921	2580
656	4923	2570
657	4926	2560
658	4928	2550
659	4940	2545
660	4944	2536
661	4948	2526
662	4951	2516
663	4954	2507
664	4956	2497
665	4960	2487
666	4966	2479
667	4971	2471
668	4974	2461
669	4976	2451
670	4978	2441
671	4983	2432
672	4985	2422
673	4987	2412
674	4990	2402
675	4992	2393
676	4996	2383
677	5006	2377
678	5008	2368
679	5011	2358
680	5013	2348
681	5016	2338
682	5018	2329
683	5021	2319
684	5023	2310
685	5026	2300
686	5028	2291
687	5030	2281
688	5035	2272
689	5039	2263
690	5041	2254
691	5043	2244
692	5046	2235
693	5049	2226
694	5051	2216
695	5053	2207
696	5056	2198
697	5059	2188
698	5061	2179
699	5063	2170
700	5069	2162
701	5074	2154
702	5076	2144
703	5079	2135
704	5081	2126
705	5083	2116
706	5085	2107
707	5088	2098
708	5090	2089
709	5093	2080
710	5095	2071
711	5100	2063
712	5104	2054
713	5107	2045
714	5109	2036
715	5112	2027
716	5115	2019
717	5118	2010
718	5120	2001
719	5122	1992
720	5125	1983
721	5127	1974
722	5129	1965
723	5139	1959
724	5141	1950
725	5144	1941
726	5147	1933
727	5150	1924
728	5152	1915
729	5154	1906
730	5156	1897
731	5160	1889
732	5163	1880
733	5170	1873
734	5173	1865
735	5175	1856
736	5177	1847
737	5180	1839
738	5182	1830
739	5184	1821
740	5187	1813
741	5190	1804
742	5195	1797
743	5200	1789
744	5202	1780
745	5205	1772
746	5208	1763
747	5210	1755
748	5212	1746
749	5214	1738
750	5218	1730
751	5221	1722
752	5226	1714
753	5235	1708
754	5238	1700
755	5241	1691
756	5244	1683
757	5247	1675
758	5250	1667
759	5253	1659
760	5257	1651
761	5259	1642
762	5265	1635
763	5270	1628
764	5272	1619
765	5275	1611
766	5279	1603
767	5281	1595
768	5285	1587
769	5287	1579
770	5290	1571
771	5293	1563
772	5296	1555
773	5299	1547
774	5301	1539
775	5303	1530
