iter	RMSE
296	2.937094996
297	2.93704528
298	2.937007645
299	2.93697614
300	2.936966986
301	2.9369325
302	2.93688286
303	2.936827143
304	2.93679665
305	2.936743557
306	2.936710165
307	2.936665594
308	2.936588211
309	2.936539734
310	2.936485149
311	2.936445038
312	2.936411146
313	2.936392036
314	2.936384857
315	2.936354052
316	2.936330848
317	2.936309941
318	2.936280352
319	2.936236708
320	2.936202005
321	2.936167932
322	2.936126461
323	2.936107686
324	2.936085016
325	2.936030942
326	2.935999606
327	2.93593406
328	2.935922251
329	2.935907333
330	2.935870249
331	2.93584221
332	2.935804041
333	2.935722217
334	2.935712705
335	2.935674942
336	2.935639044
337	2.935613201
338	2.935578527
339	2.935562068
340	2.935541097
341	2.935516685
342	2.935489075
343	2.935473126
344	2.935411472
345	2.93538794
346	2.935343488
347	2.935315603
348	2.935306073
349	2.935286105
350	2.935237898
351	2.935224969
352	2.935202799
353	2.935183087
354	2.935161268
355	2.935097212
356	2.935084576
357	2.935067486
358	2.935020992
359	2.934978683
360	2.934967906
361	2.934922013
362	2.934866696
363	2.934827652
364	2.934805003
365	2.934758461
366	2.934682544
367	2.934658029
368	2.934638326
369	2.934622803
370	2.934602062
371	2.934507095
372	2.934488685
373	2.934480347
374	2.934438291
375	2.934416114
376	2.934401661
377	2.934381151
378	2.934347985
379	2.934342041
380	2.93431182
381	2.934282857
382	2.93424942
383	2.934227012
384	2.934200144
385	2.934190569
386	2.934154922
387	2.934141714
388	2.934121654
389	2.93409431
390	2.934082812
391	2.934067524
392	2.934029912
393	2.933997468
394	2.933983121
395	2.933957426
396	2.933940498
397	2.9339084
398	2.933904935
399	2.933894925
400	2.933869541
401	2.933838412
402	2.933821374
403	2.933808414
404	2.933791645
405	2.933780296
406	2.933750051
407	2.933738111
408	2.933716532
409	2.933710045
410	2.933692192
411	2.933667842
412	2.933658222
413	2.933618094
414	2.933602308
415	2.933582514
416	2.933577583
417	2.933558735
418	2.933545956
419	2.933501103
420	2.933485975
421	2.933457492
422	2.933442179
423	2.933413762
424	2.933392219
425	2.933387607
426	2.933426	2.935282679
427	2.935264598
428	2.935257773
429	2.935247487
430	2.935240166
431	2.935209644
432	2.935190522
433	2.935182904
434	2.935174784
435	2.935156648
436	2.935142511
437	2.935114643
438	2.935095167
439	2.935085732
440	2.935057212
441	2.935045242
442	2.935022724
443	2.935009332
444	2.934988875
445	2.934945617
446	2.934938551
447	2.934914182
448	2.934879839
449	2.934855699
450	2.934849753
451	2.934836071
452	2.93481983
453	2.934806091
454	2.934791917
455	2.934780841
456	2.934769414
457	2.934746585
458	2.934730806
459	2.934698893
460	2.9346461	2.461	2.9346462	2.934061594
463	2.934052512
464	2.934044205
465	2.934017325
466	2.934000672
467	2.933991168
468	2.93398302
469	2.933961375
470	2.933936538
471	2.933900777
472	2.933896411
473	2.933878388
474	2.933864032
475	2.933847176
476	2.9338367
477	2.93382611
478	2.933798249
479	2.933769876
480	2.933764148
481	2.933738775
482	2.933732356
483	2.933708761
484	2.933686099
485	2.933670713
486	2.933657473
487	2.933646602
488	2.93362831
489	2.933614159
490	2.93359263
491	2.933575768
492	2.933564154
493	2.933559034
494	2.933541673
495	2.933537831
496	2.933480358
497	2.93346261
498	2.933498	2.499	2.9334499	2.934148192
500	2.934137437
501	2.93413336
502	2.934119722
503	2.934101364
504	2.934068785
505	2.934061341
506	2.934057511
507	2.934034361
508	2.934015555
509	2.934002361
510	2.933992476
511	2.9512	2.933283158
513	2.933258857
514	2.9514	2.933515	2.933230855
516	2.93322334
517	2.933206069
518	2.933181805
519	2.933173921
520	2.933127003
521	2.933123249
522	2.933113665
523	2.933104988
524	2.933087245
525	2.933072177
526	2.526	2.9337527	2.527	2.9337528	2.528	2.9337529	2.529	2.9337530	2.530	2.9336531	2.932987598
532	2.532	2.9336533	2.533	2.933651912
534	2.933645365
535	2.933617156
536	2.93361508
537	2.933611343
538	2.933607893
539	2.933594265
540	2.933588045
541	2.933563756
542	2.93355409
543	2.933551399
544	2.933539657
545	2.933532627
546	2.933518044
547	2.933503747
548	2.93349319
549	2.933476004
550	2.933449293
551	2.933420515
552	2.933405113
553	2.933389829
554	2.933376765
555	2.933364326
556	2.933323422
557	2.933302199
558	2.933294075
559	2.93328643
560	2.93326331
561	2.933248066
562	2.933245869
563	2.933240557
564	2.933216049
565	2.933192817
566	2.933188598
567	2.933169765
568	2.933168798
569	2.933162927
570	2.933159514
571	2.933140126
572	2.933136456
573	2.933134834
574	2.93312643
575	2.933116704
576	2.933099586
577	2.933088867
578	2.933086384
579	2.933061978
580	2.933051402
581	2.933049882
582	2.933046503
583	2.933034859
584	2.933026761
585	2.933021399
586	2.932981379
587	2.93296051
588	2.932953561
589	2.932944108
590	2.932940648
591	2.932923053
592	2.932913058
593	2.932594	2.932124833
595	2.93210077
596	2.932073861
597	2.932069556
598	2.932056962
599	2.932048655
600	2.932023328
601	2.932019506
602	2.932013021
603	2.931991554
604	2.931972472
605	2.931962741
606	2.931953992
607	2.931949378
608	2.931947548
609	2.931944439
610	2.931915169
611	2.931905194
612	2.931893604
613	2.931853764
614	2.931850884
615	2.931822972
616	2.931818471
617	2.931810757
618	2.931807904
619	2.931798633
620	2.931793958
621	2.931790912
622	2.931781457
623	2.931766487
624	2.931737163
625	2.931732536
626	2.931728677
627	2.931718961
628	2.931707915
629	2.931664911
630	2.931659104
631	2.931647035
632	2.931629572
633	2.931606767
634	2.931590878
635	2.931578739
636	2.931570952
637	2.931557434
638	2.931553276
639	2639	2.93245640	2640	2.932453325
641	2.932434985
642	2.932403904
643	2.932392706
644	2.932345276
645	2.932329376
646	2.932318543
647	2.932314576
648	2.932312198
649	2.932307222
650	2.932299654
651	2.932281131
652	2.932280229
653	2.932268539
654	2.932254386
655	2.932252047
656	2.93223757
657	2.932226293
658	2.932215236
659	2.932208619
660	2.932196475
661	2.932189235
662	2.932185366
663	2.932178472
664	2.932164815
665	2.932161407
666	2.93215499
667	2.932117583
668	2.932115159
669	2.932111917
670	2.932102375
671	2.932088517
672	2.932087038
673	2.932082079
674	2.932076809
675	2.932073743
676	2.932073144
677	2.932071659
678	2.932068787
679	2.93205653
680	2.932052652
681	2.932042388
682	2.932026487
683	2.932012874
684	2.931999523
685	2.931989352
686	2.931986275
687	2.931978512
688	2.931974622
689	2.93197392
690	2.93196637
691	2.931962288
692	2.931946722
693	2.93193869
694	2.931935613
695	2.93191723
696	2.931911557
697	2.931905509
698	2.931903122
699	2.93188803
700	2.931884435
701	2.931878194
702	2.931867848
703	2.931864967
704	2.931855607
705	2.931847027
706	2.931834174
707	2.931804468
708	2.931800196
709	2.931791756
710	2.931783427
711	2.931778047
712	2.931775446
713	2.931772455
714	2.931771641
715	2.931765635
716	2.931753736
717	2.931749594
718	2.931741642
719	2.931737215
720	2.931731244
721	2.931697635
722	2.931675336
723	2.931647286
724	2.931636235
725	2.931614498
726	2.931601037
727	2.93159727
728	2.931575387
729	2.931561083
730	2.931546291
731	2.931541825
732	2.931516905
733	2.931509196
734	2.931506685
735	2.931499493
736	2.931496313
737	2.931490484
738	2.931483751
739	2.93147607
740	2.931470568
741	2.931467189
742	2.93146101
743	2.931450166
744	2.931440743
745	2.931424076
746	2.931416741
747	2.931401302
748	2.931395416
749	2.931387643
750	2.931379966
751	2.93136433
752	2.931363465
753	2.931350968
754	2.931342482
755	2.931332117
756	2.931330161
757	2.931322751
758	2.931303633
759	2.93129149
760	2.931287798
761	2.931282949
762	2.931280244
763	2.931277231
764	2.931273897
765	2.931265669
766	2.931254062
767	2.931252534
768	2.931243328
769	2.931239997
770	2.931235237
771	2.931229441
772	2.931226407
773	2.93122194
774	2.931218425
775	2.931204369
776	2.93119839
777	2.931194344
778	2.931186811
779	2.931180273
780	2.931153438
781	2.931141342
782	2.93113778
783	2.931128727
784	2.931118091
785	2.931113382
786	2.931110946
787	2.931095463
788	2.931093557
789	2.931091629
790	2.931072726
791	2.93106749
792	2.931065176
793	2.93106018
794	2.931046815
795	2.931035675
796	2.931022424
797	2.931017018
798	2.931013832
799	2.93101204
800	2.931006484
801	2.931004458
802	2.930999391
803	2.930986735
804	2.930965179
805	2.930962005
806	2.930928612
807	2.930924657
808	2.930917425
809	2.930897326
810	2.930878394
811	2.930856935
812	2.930847528
813	2.930839917
814	2.9308379
815	2.930809645
816	2.930790795
817	2.930786188
818	2.930782554
819	2.930752714
820	2.930743208
821	2.93074249
822	2.93074114
823	2.930740646
824	2.930737268
825	2.930726878
826	2.930712513
827	2.930707914
828	2.930706683
829	2.930685863
830	2.930677159
831	2.930675507
832	2.930673904
833	2.93066414
834	2.930661896
835	2.93065518
836	2.930639673
837	2.930634711
838	2.93062277
839	2.930614632
840	2.930601399
841	2.930598809
842	2.930597476
843	2.930592554
844	2.930575097
845	2.930566313
846	2.930562201
847	2.930559762
848	2.930556944
849	2.930545989
850	2.930539511
851	2.930534927
852	2.930530074
853	2.930524025
854	2.930522715
855	2.930515809
856	2.930493487
857	2.930489336
858	2.930477022
859	2.930474433
860	2.930439304
861	2.930425644
862	2.930396422
863	2.93036859
864	2.930363427
865	2.930360554
866	2.930359971
867	2.930358523
868	2.930354482
869	2.930351922
870	2.930339488
871	2.93030579
872	2.930303246
873	2.930292257
874	2.930285219
875	2.930278737
876	2.930274516
877	2.930272291
878	2.930263538
879	2.930254188
880	2.930244352
881	2.930235968
882	2.930225628
883	2.930221826
884	2.930220399
885	2.930210676
886	2.93020144
887	2.930182002
888	2.930179292
889	2.930174253
890	2.930172939
891	2.930168131
892	2.930164423
893	2.930156294
894	2.930155156
895	2.930153796
896	2.930125405
897	2.930108428
898	2.930101537
899	2.930086001
900	2.930080064
901	2.930070076
902	2.930059377
903	2.930028656
904	2.930002817
905	2.929996017
906	2.929987234
907	2.929986289
908	2.929971148
909	2.929959399
910	2.92995902
911	2.929955145
912	2.929950221
913	2.929949076
914	2.929927088
915	2.929925943
916	2.929924707
917	2.929922433
918	2.929920384
919	2.929918718
920	2.92991113
921	2.929909924
922	2.929898607
923	2.929895583
924	2.929894748
925	2.929888367
926	2.929877472
927	2.929862422
928	2.929849442
929	2.929840792
930	2.929833911
931	2.92982298
932	2.929821839
933	2.929815645
934	2.929814905
935	2.929799313
936	2.92979828
937	2.929794542
938	2.929788701
939	2.929786881
940	2.929761249
941	2.929757202
942	2.929750167
943	2.929743441
944	2.929741555
945	2.929740632
946	2.929734331
947	2.929720007
948	2.929715122
949	2.929712265
950	2.929702404
951	2.929697423
952	2.929694166
953	2.929676192
954	2.929675373
955	2.929674521
956	2.929668288
957	2.929667547
958	2.929664993
959	2.929663277
960	2.929655875
961	2.929653533
962	2.929652218
963	2.929647566
964	2.929640883
965	2.929635587
966	2.929630862
967	2.929626739
968	2.929625541
969	2.929624457
970	2.92961568
971	2.929615301
972	2.929612951
973	2.929607394
974	2.929603343
975	2.929601415
976	2.929594996
977	2.929593164
978	2.929590846
979	2.929583898
980	2.929583493
981	2.929579861
982	2.929553311
983	2.929551688
984	2.929550891
985	2.929546647
986	2.929537949
987	2.929537284
988	2.929535175
989	2.929534197
990	2.929507427
991	2.929502861
992	2.929501002
993	2.92949994
994	2.929499847
995	2.929487319
996	2.929473372
997	2.929466726
998	2.929463825
999	2.929461115
7609
